Search_term,gse,title,summary,overall_design,gpl,sample_number,type,pubmed_id
Alzheimers Disease,GSE77666,Expression mRNA data from human postmortem putamen samples measured using the NanoString nCounter platform,"Background: Molecular adaptations in the striatum mediated by dopamine (DA) denervation or Levodopa (L-dopa) treatment have been implicated with the motor deficits found in Parkinson’s disease (PD). Alterations in glutamatergic neurotransmission and anti-oxidant mechanisms are reported to play important roles in mediating these changes. However, the mechanisms mediating the molecular adaptations in the striatum are not well understood. In recent years, microRNAs (miRNAs) have been recognized as potent post-transcriptional regulators of gene expression with fundamental roles in numerous biological processes. miRNAs are known to influence the development and maintenance of striatal neurons. To determine the contribution of miRNAs in molecular adaptations found in PD, we screened the expression of 800 miRNAs in postmortem striatum samples obtained from PD and neurologically normal controls. We detected the expression of approximately 250 miRNAs in postmortem human putamen samples collected from patients with PD and healthy controls. There was an abundance of a subset of 17 miRNAs (10 up- and 7 down-regulated) differing substantially between PD and the control, suggesting that miRNAs are altered in the striatum during the course of PD. Computational analysis show that  many of these miRNAs targets pro-inflammatory factors in the striatum. Therefore, we sought to detrmine the expression of experimentally validated pro-inflammatory transcripts in PD striatum.;;Methods: Using a digital gene expression platform to quantify 134 gene transcripts, we compared human postmortem putamen tissues from patients with PD and neurologically normal controls.;;Results: We identified deregulated expression of 10 gene transcripts (4 up- and 6 down-regulated mRNAs) in postmortem human putamen samples collected fromPD patients compared to controls. The expression of these genes negative correlates with the expression of many of the differentially epxressed miRNAs. Moreover, many of these genes are predicted targets of the differentially expressed miRNAs.;;Conclusions: We identified deregulated mRNAs most likely associated with anti-oxidant mechanims in PD striatum. This approach may provide insights into pathogenesis of the disease.","Human postmortem putamen tissues from 12 patients with PD symptoms and 12 neurologically normal controls were used in the study. Samples were obtained from the Human Brain and Spinal Fluid Resource Center, Los Angeles, CA through NIH NeuroBioBank, and stored at -80°C until RNA isolation. Total RNA was extracted using the mirVana RNA isolation kit, following the manufacturer’s instructions (Ambion). Using 225ng total RNA, mRNA levels were assayed by direct digital detection using Nanostring nCounter assay kits (Nanostring Technologies).",GPL21436,24,Expression profiling by array,NA
Alzheimers Disease,GSE67306,Effect of ibuprofen on hippocampal gene expression in APP-PS1 mice,NSAIDs (non-steroidal anti-inflammatory drugs) inhibit cyclooxygenase (COX) enzymes and prevent Alzheimer’s disease (AD) at preclinical stages in cognitively normal aging populations.  We modeled NSAID prevention of memory impairment in AD model mice to identify novel targets of NSAID action.;We found that the widely-used NSAID ibuprofen prevented early hippocampus-dependent memory deficits in APP-PS1 mice. We therefore analyzed gene expression in the hippocampus of these mice.,"We treated male APPSwe-PS1deltaE9 mice (strain originally provided by Dr. David Borchelt and fully back-crossed to a C57BL/6J background) and their wild-type littermates with ibuprofen in chow from 3 to 6 months of age, after which we sacrificed the mice and dissected one hippocampus from each mouse for RNA isolation and microarray analysis. In each genotype-treatment group, we analyzed samples from 5 mice.;Note: In our initial analysis, we found that sample GSM1644138, Hippocampus_WT_Con_rep5, was an outlier in overall gene expression. We therefore removed this sample before performing the analysis published in PMID 27190010.",GPL6246,19,Expression profiling by array,27190010
Alzheimers Disease,GSE76700,Whole transcriptome analysis of mouse brain with chronic diazepam treatment,"Global transcriptional analysis of chronic DZP administrated mouse brain using microarrays identified some up- and down- regulated genes after chronic DZP administrations.;Diazepam (DZP), a medication of the benzodiazepine family, is widely used to treat various conditions including anxiety, muscle spasms, seizures, trouble sleeping, and alcohol withdrawal syndrome. Chronic DZP treatment has significant risks such as tolerance, dependence, withdrawal effect and Alzheimer's disease. As the molecular mechanisms of these risks were complex processes, global analysis has been required.","Control (INTRALIPID, vehicle) or DZP chronically administrated mice (n=3, respectively) were decapitated and brains were quickly removed under deep anesthesia. Total RNA were extracted from cerebral cortex, hippocampus and amygdala. The samples were named as follows: CC;control cerebral cortex, DC; DZP cerebral cortex, CH;control hippocampus, DH; DZP hippocampus, CA; control amygdala, DA; DZP amygdala. 100 ng of total RNA were subjected to GeneChip® Mouse Transcriptome Array (MTA-1_0, Affymetrix) according to manufacturer's protocol.","GPL20775, GPL21341",36,Expression profiling by array,NA
Alzheimers Disease,GSE74763,Detection of Alzheimer’s Disease at Mild Cognitive Impairment and Disease Progression Using Autoantibodies as Blood-based Biomarkers,Human serum samples from Alzheimer's disease driven mild cognitive impairment and non-diseased controls were probed onto human protein microarrays in order to identify differentially expressed autoantibody biomarkers that could be used as diagnostic indicators.  Other neurodegenerative and non-neurodegenerative diseases were also used to help measure the specificity of the selected biomarkers.,"In the study presented here, 50 Alzheimer's disease driven mild cognitive impairment samples and 50 control human serum samples were probed onto human protein microarrays in order to identify differentially expressed autoantibodies.  Microarray data was analyzed using several statistical significance algorithms, and autoantibodies that demonstrated significant differences in group prevelance were selected as potential biomarkers of disease.  Prediction classification analysis using Invitrogen's Prospector v5.2.1 and Random Forest tested the diagnostic efficacy of the identified biomarkers.  Differentiation of mild cognitive impairment samples from other neurodegenerative and non-neurodegenerative controls (Parkinson's disease, multiple sclerosis, and breast cancer) assessed the specificity of the selected biomarkers, while comparison with mild-moderate Alzheimer's disease samples assessed their utility for use in disease staging.;contributor: Alzheimer's Disease Neuroimagining Initiative",GPL13669,236,Protein profiling by protein array,NA
Alzheimers Disease,GSE80696,Differential transcriptome expression in human nucleus accumbens as a function of loneliness,"Loneliness is associated with impaired mental and physical health. Studies of lonely individuals reported differential expression of inflammatory genes in peripheral leukocytes and diminished activation in brain reward regions such as nucleus accumbens, but could not address gene expression in the human brain. Here, we examined genome-wide RNA expression in postmortem nucleus accumbens from donors (N = 26) with known loneliness measures. Loneliness was associated with 1 710 differentially expressed transcripts from 1 599 genes (DEGs; FDR p < 0.05, fold-change > |2|, controlling for confounds) previously associated with behavioral processes, neurological disease, psychological disorders, cancer, organismal injury, and skeletal and muscular disorders, as well as networks of upstream RNA regulators. Furthermore, a number of DEGs were associated with Alzheimer’s disease genes (which was correlated with loneliness in this sample, although gene expression analyses controlled for AD diagnosis). These results identify novel targets for future mechanistic studies of gene networks in nucleus accumbens and gene regulatory mechanisms across a variety of diseases exacerbated by loneliness.","Gene expression in postmortem nucleus accumbens was examined as a function of loneliness. Twenty-six White, non-Hispanic individuals without a clinical diagnosis of depression (i.e., excluding individuals who were rated “probable” or “highly probable” to be depressed by a clinician) at baseline were selected out of a pool of 247 MAP participants with reported loneliness data by stratified random sub-sampling from a convenience sample from the top and bottom quartiles of loneliness scores (N=13 each), and matched for the number of females (N=6) in these quartiles.",GPL15314,26,Non-coding RNA profiling by array,NA
Alzheimers Disease,GSE61242,Epigenetic assimilation in the aging human brain,Epigenetic misregulation is consistent with the various non-Mendelian features of Alzheimer's disease (AD) and may even play an etiological role in the disease. We performed DNA modification profiling of post-mortem brain samples from twins who differed for age of AD onset and buccal samples from twins who were discordant for AD at the time of sample collection.,"We performed DNA methylome analysis on frontal cortex, cerebellum, or buccal tissues from monozygotic twins and dizygotic twins discordant for Alzheimer’s disease (AD) or disease age of onset. DNA samples were enriched for unmodified fraction of the genome using DNA-modification sensitive restriction enzyme digestion followed by adaptor-mediated PCR. The enriched fractions were labelled with a fluorescent dye (Cy3) and hybridized onto the array with a common reference pool (Cy5).",GPL2040,76,Methylation profiling by array,NA
Alzheimers Disease,GSE45775,DNA methylation in Hippocampus across Alzheimer Braak Stages,"Genome wide DNA methylation profiling of normal and different Alzheimer Braak stages samples. The Illumina Infinium 27k Human DNA methylation Beadchip v1.2 was used to obtain DNA methylation profiles across approximately 27,000 CpGs. Samples included 5 controls, 5 Braak stage I-II, 5 Braak stage III-IV and 5 Braak stage V-VI.",Bisulphite converted DNA from the 20 samples were hybridised to the Illumina Infinium 27k Human Methylation Beadchip v1.2.,GPL8490,20,Methylation profiling by array,NA
Alzheimers Disease,GSE70249,"Identification of chemicals that mimic transcriptional changes associated with autism, brain aging and neurodegeneration","Environmental factors, including pesticides, have been linked to autism and neurodegeneration risk using retrospective epidemiological studies.  Here, we sought to prospectively identify chemicals that share transcriptomic signatures with neurological disorders by exposing mouse cortical neuron-enriched cultures to hundreds of chemicals commonly found in the environment and on food.  We find that rotenone, a pesticide associated with Parkinson’s disease risk, and certain fungicides, including pyraclostrobin, trifloxystrobin, famoxadone, and fenamidone, produce transcriptional changes in vitro that are similar to those seen in brain samples from humans with autism, advanced age and neurodegeneration (Alzheimer’s disease, Huntington’s disease).  These chemicals stimulate free radical production and disrupt microtubules in neurons, effects that can be reduced by pretreating with a microtubule stabilizer, an antioxidant, or with sulforaphane.  Our study provides an approach to prospectively identify environmental chemicals that transcriptionally mimic autism and other brain disorders.","405 total samples, consisting of 297 unique chemicals and vehicle controls.",GPL17021,405,Expression profiling by high throughput sequencing,27029645
Alzheimers Disease,GSE79144,Mechanisms and disease associations of haplotype-dependent allele specific DNA methylation: Methylation array data for the identification of mQTL,"Haplotype-dependent allele-specific methylation (hap-ASM) can impact disease susceptibility, but maps of this phenomenon using stringent criteria in disease-relevant tissues remain sparse. Here we apply array-based and Methyl-seq approaches to multiple human tissues and cell types, including brain, purified neurons and glia, T lymphocytes, and placenta, and identify 795 hap-ASM differentially methylated regions (DMRs) and 3,082 strong methylation quantitative trait loci (mQTLs), most not previously reported. More than half of these DMRs have cell type-restricted ASM, and among them are 188 hap-ASM DMRs and 933 mQTLs located near GWAS signals for immune and neurological disorders. Targeted bis-seq confirmed hap-ASM in 12/13 loci tested, including CCDC155, CD69, FRMD1, IRF1, KBTBD11, and S100A*-ILF2, associated with immune phenotypes, MYT1L, PTPRN2,CMTM8 and CELF2, associated with neurological disorders, NGFR and HLA-DRB6, associated with both immunological and brain disorders, and ZFP57, a trans-acting regulator of genomic imprinting. Polymorphic CTCF and transcription factor (TF) binding sites are over-represented among hap-ASM DMRs and mQTLs, and analysis of the human data, supplemented by cross-species comparisons to Macaca mulattamacaques, indicates that CTCF and TF binding likelihood predicts the strength and direction of the allelic methylation asymmetry. These results show that hap-ASM is highly tissue-specific; an important trans-acting regulator of genomic imprinting is regulated by this phenomenon; variation in CTCF and TF binding sites is an underlying mechanism in primary tissues, and maps of hap-ASM and mQTLs reveal regulatory sequences underlying supera- and sub-threshold GWAS peaks in immunological and neurological disorders.","Bisulfite converted DNA from 54 T cells, 44 brains (temporal cortex), 18 neuron nuclei, 22 non-neuronal nuclei (referred as glia), 37 fetal placentas samples were hybridised to the Illumina Infinium 450k Human Methylation Beadchip.  Illumina Infinium 450k Human Methylation Beadchip were performed by the Genomics Shared Resource supported by Roswell Park Cancer Institute and National Cancer Institute (NCI). The isolation of neuron and glia nuclei was performed by fluorescence-activated nuclear sorting (FANS) after incubarion with anti – NeuN- Alexa 488 conjugated antibody (Millipore MAB377X) .To identify mQTL (methylation quantitative trait loci), these methylation data were used in combination with genotyping data obtained using Illumina HumanOmni2.5-8v1.1 (Omni2.5) BeadChip.",GPL13534,175,Methylation profiling by genome tiling array,NA
Alzheimers Disease,GSE79262,Mechanisms and disease associations of haplotype-dependent allele specific DNA methylation,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,"GPL11154, GPL13534, GPL18952",326,Methylation profiling by genome tiling array;Genome variation profiling by SNP array;Methylation profiling by high throughput sequencing,NA
Alzheimers Disease,GSE79254,Mechanisms and disease associations of haplotype-dependent allele specific DNA methylation: genotyping data for the identification of mQTL,"Haplotype-dependent allele-specific methylation (hap-ASM) can impact disease susceptibility, but maps of this phenomenon using stringent criteria in disease-relevant tissues remain sparse. Here we apply array-based and Methyl-seq approaches to multiple human tissues and cell types, including brain, purified neurons and glia, T lymphocytes, and placenta, and identify 795 hap-ASM differentially methylated regions (DMRs) and 3,082 strong methylation quantitative trait loci (mQTLs), most not previously reported. More than half of these DMRs have cell type-restricted ASM, and among them are 188 hap-ASM DMRs and 933 mQTLs located near GWAS signals for immune and neurological disorders. Targeted bis-seq confirmed hap-ASM in 12/13 loci tested, including CCDC155, CD69, FRMD1, IRF1, KBTBD11, and S100A*-ILF2, associated with immune phenotypes, MYT1L, PTPRN2,CMTM8 and CELF2, associated with neurological disorders, NGFR and HLA-DRB6, associated with both immunological and brain disorders, and ZFP57, a trans-acting regulator of genomic imprinting. Polymorphic CTCF and transcription factor (TF) binding sites are over-represented among hap-ASM DMRs and mQTLs, and analysis of the human data, supplemented by cross-species comparisons to Macaca mulattamacaques, indicates that CTCF and TF binding likelihood predicts the strength and direction of the allelic methylation asymmetry. These results show that hap-ASM is highly tissue-specific; an important trans-acting regulator of genomic imprinting is regulated by this phenomenon; variation in CTCF and TF binding sites is an underlying mechanism in primary tissues, and maps of hap-ASM and mQTLs reveal regulatory sequences underlying supera- and sub-threshold GWAS peaks in immunological and neurological disorders.","Genomic DNA from 54 T cells,  47  brains (temporal cortex) and 37 fetal placentas were hybridized to the Illumina HumanOmni2.5-8v1.1 (Omni2.5) BeadChip. Illumina HumanOmni2.5 arrays were performed by the Genomics Shared Resource supported by Roswell Park Cancer Institute and National Cancer Institute (NCI). Sample-dependent and sample-independent controls were evaluated to ensure the reagent performance, efficiency of hybridization and the staining process as well as to evaluate sample quality and performance.  Each SNP was analyzed independently to identify genotypes. Genotypes were called by comparing generated data with those in a standard cluster file.  To identify mQTL (methylation quantitative trait loci), these genotyping data were used in combination with methylation data obtained using  Illumina Infinium 450k Human Methylation Beadchip arrays.",GPL18952,138,Genome variation profiling by SNP array,NA
Alzheimers Disease,GSE77574,The Adaptive Immune System Restrains Alzheimer’s Disease (AD) Pathogenesis by Modulating Microglial Function,"Neuroinflammation and activation of innate immunity are pathological hallmarks of Alzheimer’s disease (AD).  In contrast, very few studies have examined the impact of the adaptive immune system in AD pathogenesis. In this study, we find that genetic deletion of peripheral immune populations significantly accelerates amyloid pathogenesis, worsens neuroinflammation, and alters microglial activation state.;We used microarray analysis to profile gene expression underlying genotype related changes at the cellular level in the context of AD .","To examine the impact of the adaptive immune system on AD pathogenesis, we backcrossed a well-established AD transgenic line, 5xfAD mice [Oakley et al., 2006], on to a Rag2-/-/Il2r<U+03B3>-/- double knockout background, creating mice that lacked T-cells, B-cells, and NK-cells.  In the process of generating these immune-deficient “Rag-5xfAD” and “Rag-WT” littermates, we also produced strain-matched equivalent immune-competent AD transgenic and wild-type mice termed “WT-5xfAD” and “WT-WT” respectively.",GPL20775,16,Expression profiling by array,NA
Alzheimers Disease,GSE78498,Genome-wide identification of microRNAs in pomegranate (Punica granatum L.) by high throughput sequencing,"Background: MicroRNAs (miRNAs), a class of small non-coding endogenous RNAs that regulate gene expression posttranscriptionally, play multiple key roles in plant growth and development and the stress response. Knowledge of and the roles of miRNAs in pomegranate fruit development have not been explored.;Results: Pomegranate, which accumulates a large amount of anthocyanins in skin and arils, is valuable to human health, mainly because of antioxidant properties. In this study, we developed a small RNA library from pooled RNA samples from young seedling to matured fruits and identified both conserved and pomegranate-specific miRNA from 29,948,480 high-quality reads. For the pool of 15- to 30-nt small RNAs, ~50% were 24 nt. The miR157 family was the most abundant, followed by miR156, miR160, and miR159, with many variants within each family. The base bias at the first position from the 5’ end has a strong preference for U for most 18- to 26-nt miRNAs but a preference for A for 18-nt miRNAs. In addition, for all 24-nt miRNAs, the nucleotide U is preferred (97%) in the first position. RT-qPCR was used to validate the expression of the predominant miRNA families in leaves, male and female flowers, and multiple fruit developmental stages; miR156, miR156-v1, miR159, miR159-v1, and miR319 were upregulated during the later stages of fruit development. Gene ontology and KEGG pathway analyses revealed predominant metabolic processes and catalytic activities, important for fruit development. In addition, KEGG pathway analyses revealed the involvement of miRNAs in ascorbate and linolenic acid, starch and sucrose metabolism; RNA transport; plant hormone signaling pathways; and circadian clock.;Conclusion: Pomegranate largely contains anthocyanin, flavonoids, and antioxidants, which play critical roles in treating cancer, Alzheimer disease, and preventing heart attacks. Our first and preliminary report of novel miRNAs provides information on the biochemical compounds of pomegranate for future research. The functions of the targets of these novel miRNAs need further investigation.",Profiling of miRNAs in pomegranate using Illumina HiSeq 2000 platform,GPL21515,1,Non-coding RNA profiling by high throughput sequencing,NA
Alzheimers Disease,GSE53699,nELAVL HITS-CLIP and RNA-seq in Alzheimer's Disease patients and IMR-32 neuroblastoma cells,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,"GPL10999, GPL15520, GPL16791",64,Expression profiling by high throughput sequencing,NA
Alzheimers Disease,GSE53697,RNAseq in Alzheimer's Disease patients,"Human brain samples from healthy, early and advanced Alzheimer's Diseased patients were subjected to RNAseq analysis to monitor RNA level changes during AD progression","Human brain samples were obtained from the Mount Sinai Brain Bank; RNA was Trizol extracted, Ribominus selected and submitted for high-throughput sequencing.",GPL16791,17,Expression profiling by high throughput sequencing,NA
Alzheimers Disease,GSE53695,nELAVL HITS-CLIP in Alzheimer's Disease patients,Human brain samples from control and advanced Alzheimer's Diseased subjects were subjected to HITS-CLIP to monitor nELAVL binding changes during AD progression,Human brain samples were obtained from the Mount Sinai Brain Bank; samples were UV-irradiated and subjected to nELAVL HITS-CLIP (detailed desription in accompanying paper),"GPL10999, GPL15520, GPL16791",17,Expression profiling by high throughput sequencing,NA
Alzheimers Disease,GSE74038,Embryonic exposure to 10 µg/L lead results in male-specific expression changes in genes associated with nervous system development and function and Alzheimer’s disease in aged adult zebrafish brain,"A developmental lead (Pb) exposure has been proposed as an environmental risk factor for adult neurodegenerative diseases including Alzheimer’s disease (AD). Recent animal studies showed pathological characteristics of AD in adults with a developmental Pb exposure, but additional studies are needed to investigate this phenomenon. To further assess the relationship between an embryonic Pb exposure and latent neurological alterations, the brain of adult female and male zebrafish aged 12 months that were exposed to a control treatment or 10 µg/L Pb only during embryogenesis (1- 72 hours after fertilization) were analyzed on a zebrafish-specific microarray platform. Gene ontology and pathway analysis revealed similarities in the top diseases and functional categories in both sexes, but females had 4.3 times more genes altered than males. In addition, alterations in genes associated with nervous system development and function were more pronounced with a set of 89 genes associated with AD including amyloid precursor protein (APP), apolipoprotein (APOE), and sortlin-related receptor precursor (SORL1) observed to be changed in adult females. Our observations suggest that an  embryonic exposure to Pb at levels as low as 10 µg/L disturb global gene expression patterns in a sex-specific manner that could lead to neurological alterations in later life. With these findings, future studies investigating the adverse neurological outcomes of these changes in gene expression will facilitate our understanding of the impact of an embryonic 10 µg/L Pb exposure on neurological disease pathogenesis and the inclusion of additional concentrations will broaden our knowledge of dose-dependent changes.",A developmental exposure to 10ppb Pb induced global gene expression changes were analyzed in 12 months aged male and female zebarfish brains. A developmental exposure was done shortly after fertilization through 72 hours after fertilization.,GPL20834,7,Expression profiling by array,NA
Alzheimers Disease,GSE74037,Embryonic exposure to 10 µg/L lead results in female-specific expression changes in genes associated with nervous system development and function and Alzheimer’s disease in aged adult zebrafish brain,"A developmental lead (Pb) exposure has been proposed as an environmental risk factor for adult neurodegenerative diseases including Alzheimer’s disease (AD). Recent animal studies showed pathological characteristics of AD in adults with a developmental Pb exposure, but additional studies are needed to investigate this phenomenon. To further assess the relationship between an embryonic Pb exposure and latent neurological alterations, the brain of adult female and male zebrafish aged 12 months that were exposed to a control treatment or 10 µg/L Pb only during embryogenesis (1- 72 hours after fertilization) were analyzed on a zebrafish-specific microarray platform. Gene ontology and pathway analysis revealed similarities in the top diseases and functional categories in both sexes, but females had 4.3 times more genes altered than males. In addition, alterations in genes associated with nervous system development and function were more pronounced with a set of 89 genes associated with AD including amyloid precursor protein (APP), apolipoprotein (APOE), and sortlin-related receptor precursor (SORL1) observed to be changed in adult females. Our observations suggest that an  embryonic exposure to Pb at levels as low as 10 µg/L disturb global gene expression patterns in a sex-specific manner that could lead to neurological alterations in later life. With these findings, future studies investigating the adverse neurological outcomes of these changes in gene expression will facilitate our understanding of the impact of an embryonic 10 µg/L Pb exposure on neurological disease pathogenesis and the inclusion of additional concentrations will broaden our knowledge of dose-dependent changes.",A developmental exposure to 10ppb Pb induced global gene expression changes were analyzed in 12 months aged male and female zebarfish brains. A developmental exposure was done shortly after fertilization through 72 hours after fertilization.,GPL20834,6,Expression profiling by array,NA
Alzheimers Disease,GSE74995,Cortex PS2 APP transgenic mice,"Gene Expression profiles from whole cortical tissue from the PS2APP transgenic mouse model of Alzheimer's disease will reflect the cellular alterations, including the pathological drivers and the compensatory mechanisms of neurodegeneration when compared to wild-type control animals.;The \SAMID\"" sample characteristic is a sample identifier internal to Genentech.;The ID of this project in Genentech's ExpressionPlot database is PRJ0006684;;Keywords: Expression profiling by array""","5 Male transgenic and 5 Male wild-type mice were perfused and sacrificed at 3 months (earliest behavioral changes), 7 months (inflammation and plaque pathology), or 13 months (spreading synapse loss) of age. Hemicortices were subdissected and flash frozen prior to RNA extraction using the RNeasy Lipid Tissue extraction kit with on-column Dnase digestion.",GPL11202,30,Expression profiling by array,NA
Alzheimers Disease,GSE57361,Genome-scale profiling of the DNA methylation landscape in human neurological disorders,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,"GPL11154, GPL13534",31,Methylation profiling by array;Methylation profiling by high throughput sequencing,NA
Alzheimers Disease,GSE57360,Genome-scale profiling of the DNA methylation landscape in human neurological disorders (BeadChip),Genome-scale DNA methylation profiling using the Infinium DNA methylation BeadChip platform and samples from 4 human neurological disorders.,"DNA methylation analysis of brain samples from patient suffering from Down’s syndrome, Dementia of Lewy bodies or Alzheimer's and Parkinson's disease using the Infinium DNA methylation BeadChip platform .",GPL13534,27,Methylation profiling by array,NA
Alzheimers Disease,GSE57359,Genome-wide profiling of the DNA methylation landscape at base-pair resolution in human neurological disorders (Bisulfite-Seq),Whole genome bisulphite sequencing of 4 human neurological disorders.,"Sequencing of bisulfite converted DNA of brain samples from patient suffering from Down’s syndrome, Dementia of Lewy bodies or Alzheimer's and Parkinson's disease.",GPL11154,4,Methylation profiling by high throughput sequencing,NA
Alzheimers Disease,GSE40814,A Signaling Lipid Associated with Alzheimer’s Disease Promotes Mitochondrial Dysfunction,"Fundamental changes in the composition and distribution of lipids within the brain are believed to contribute to the cognitive decline associated with Alzheimer’s disease (AD). The mechanisms by which these changes in lipid composition affect cellular function and ultimately cognition are not;well understood. Although “candidate gene” approaches can provide insight into the effects of dysregulated lipid metabolism they require a preexisting understanding of the molecular targets of individual lipid species. In this report we combine unbiased gene expression profiling with a genomewide;chemogenomic screen to identify the mitochondria as an important downstream target of PC(O-16:0/2:0), a neurotoxic lipid species elevated in AD. Further examination revealed that PC(O-16:0/2:0) similarly promotes a global increase in ceramide accumulation in human neurons which was associated with mitochondrial-derived reactive oxygen species (ROS) and toxicity. These findings suggest that PC(O-16:0/2:0)-dependent mitochondrial dysfunction may be an underlying contributing factor to the;ROS production associated with AD.","This experiment contains 2 samples, 4 biological reps for each sample were hybridized. Cy3 one-color labelling was used for each sample.",GPL16049,8,Expression profiling by array,26757638
Alzheimers Disease,GSE76612,Tip60 HAT action mediates environmental enrichment induced cognitive restoration,"Environmental enrichment (EE) conditions have profound beneficial effects for reinstating cognitive ability in neuropathological disorders like Alzheimer’s disease (AD).   While EE benefits involve epigenetic gene control mechanisms that comprise histone acetylation, the histone acetyltransferases (HATs) involved remain largely unknown.  Here, we examine a role for Tip60 HAT action in mediating activity- dependent beneficial neuroadaptations to EE using the Drosophila CNS mushroom body (MB) as a well-characterized cognition model.   We show that flies raised under EE conditions display enhanced MB axonal outgrowth, synapse protein production, histone acetylation induction and transcriptional activation of cognition linked genes when compared to their genotypically identical siblings raised under isolated conditions.  Further, these beneficial changes are impaired in both Tip60 HAT mutant flies and APP neurodegenerative flies.   While EE conditions provide only slight beneficial neuroadaptive changes in the APP neurodegenerative fly MB, such positive changes are significantly enhanced by increasing MB Tip60 HAT levels.  Our results implicate Tip60 as a critical mediator of EE-induced benefits, and provide insight into synergistic behavioral and epigenetic based approaches for treatment of cognitive disorders.;EE has been shown to positively impact gene expression profiles in the mouse brain that are enriched in functions such as neuronal structure, synaptic plasticity and neurotransmission.  Thus, we asked whether the EE induced beneficial MB structural and synaptic changes we observe are accompanied by neuroadaptive transcriptional benefits in the Drosophila MB, and if so, is Tip60 HAT action required for this process. To address this question, we accessed EE induced beneficial transcriptional changes using microarray.","We crossed our UAS-mCD8-GFP;Tip60E431Q flies or control UAS-mCD8-GFP flies to MB GAL4 OK-107 to simultaneously induce Tip60 HAT loss in the MB while tagging MB cells with GFP. Adult progeny were exposed to EE or ISO conditions.  After conditioning, the GFP tagged MB Kenyon neurons were FACs purified from conditioned fly brains from each genotype to enrich for detection of an EE induced MB transcriptional response.   RNA was isolated from the purified Kenyon MB neurons and transcriptional changes for each genotype were assessed using microarray analysis",GPL1322,8,Expression profiling by array,NA
Alzheimers Disease,GSE76567,Transcriptomic Analysis of the Hippocampus from Six Inbred Strains of Mice Suggests Basis for Sex-Specific Susceptibility and Severity of Neurological Disorders,"Identifying sex differences in gene expression within the brain is critical for determining why multiple neurological and behavioral disorders differentially affect males and females. Several are more common or severe in males (e.g., autism and schizophrenia) or females (e.g., Alzheimer’s disease and depression). We analyzed transcriptomic data from the mouse hippocampus of six inbred strains (129S1/SvImJ, A/J, C57BL/6J, DBA/1J, DBA/2J and PWD/Ph), to provide a perspective on differences between male and female gene expression. Our data show that: 1) significant gene expression differences in males versus females varies substantially across the strains, 2) 12 genes exist that are differentially expressed across the inbred strains (termed core genes), and 3) there are >2,600 significantly differentially expressed genes (DEGs) among the strains (termed non-core genes). We found that DBA/2J uniquely has a substantial majority (89%) of DEGs that are more highly expressed in females than males; 129/SvImJ is the most strongly male-biased with a majority (69%) of DEGs that are more highly expressed in males. To gain insight into the sex-biased DEGs, we examined gene ontology, pathway and phenotype enrichment and found significant enrichment in phenotypes related to abnormal nervous system morphology and physiology, among others. In addition, several pathways are enriched significantly, including Alzheimer’s disease (AD), with 32 genes implicated in AD, 8 of which are male-biased. Three of the male-biased genes have been implicated in a neuroprotective role in AD. Our transcriptomic data provide new insight into understanding the possible genetic bases for sex-specific susceptibility and severity of brain disorders.",Hippocampal mRNA from adult males and females of six inbred strains of mice were analyzed by RNA sequencing of 3 biological replicates using an Illumina HiSeq 2500,GPL17021,36,Expression profiling by high throughput sequencing,NA
Alzheimers Disease,GSE66598,The choroid plexus transcriptome reveals changes in type I and II interferon responses in a mouse model of Alzheimer's disease,"Alzheimer’s disease (AD) is a neurodegenerative disease characterized by a marked decline in cognition and memory formation. Increasing evidence highlights the essential role of neuroinflammatory and immune-related molecules, namely the ones that are produced at the brain barriers, on brain immune surveillance, cellular dysfunction and amyloid beta (Aß) pathology in AD. Therefore, understanding the response at the brain barriers may unravel novel pathways that are relevant for the pathophysiology of AD. Herein, we focused on the study of the choroid plexus (CP), which constitutes the blood-cerebrospinal fluid barrier, in aging and in AD. Specifically, we used the PDGFB-APPSwInd (J20) transgenic mouse model of AD, which presents early memory decline and progressive Aß accumulation, and littermate age-matched wild-type (WT) mice, to characterize the CP transcriptome at 3, 5-6 and 11-12 months of age. The most striking observation was that the CP of J20 mice displayed an overall overexpression of type I interferon (IFN) response genes at all ages. Moreover, J20 mice presented a high expression of type II IFN genes in the CP at 3 months, which became lower than WT at 5-6 and 11-12 months. Importantly, along with a marked memory impairment and increased glial activation, J20 mice also presented a similar overexpression of type I IFN genes in the dorsal hippocampus at 3 months. Altogether, these findings provide new insights on a possible interplay between type I and type II IFN responses in AD and point to IFNs as mediators of cognitive decline in aging and in AD.","The CP transcriptome of at least 3 mice of each age (3, 5-6 and 11-12 months) and of each genotype (WT or J20) was analyzed and compared.",GPL6885,24,Expression profiling by array,NA
